Western Bulldogs
Luke Beveridge, COACH
10, Easton Wood, FB
42, Alex Keath, FB
15, Taylor Duryea, FB
35, Caleb Daniel, HB
12, Zaine Cordy, HB
31, Bailey Dale, HB
6, Bailey Smith, C
21, Tom Liberatore, C
7, Lachie Hunter, C
19, Cody Weightman, HF
33, Aaron Naughton, HF
1, Adam Treloar, HF
39, Jason Johannisen, FF
44, Tim English, FF
29, Mitch Hannan, FF
8, Stefan Martin, FOL
11, Jack Macrae, FOL
4, Marcus Bontempelli, FOL, c
34, Bailey Williams, IC
5, Josh Dunkley, IC
37, Roarke Smith, IC
13, Josh Schache, IC
