Melbourne Demons
Simon Goodwin, COACH
14, Michael Hibberd, FB
1, Steven May, FB
8, Jake Lever, FB
17, Jake Bowey, HB
35, Harrison Petty, HB
3, Christian Salem, HB
10, Angus Brayshaw, C
5, Christian Petracca, C
15, Ed Langdon, C
36, Kysaiah Pickett, HF
25, Tom McDonald, HF
4, James Harmes, HF
30, Alex Neal-Bullen, FF
50, Ben Brown, FF
31, Bayley Frisch, FF
11, Max Gawn, FOL, c
13, Clayton Oliver, FOL
7, Jack Viney, FOL
6, Luke Jackson, IC
9, Charlie Spargo, IC
24, Trent Rivers, IC
32, Tom Sparrow, IC
